,business_id,alias,name,url,phone,review_count,rating,address,city,zip_code,country,state,coordinate_latitude,coordinate_longtitude,price
0,YI49ybEJNLBbzwl5Qx2AMg,cafe-boulis-astoria,Cafe Boulis,https://www.yelp.com/biz/cafe-boulis-astoria?adjust_creative=XCA5Kc7RlIdeGhJ7qoZSYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XCA5Kc7RlIdeGhJ7qoZSYA,+17188061014,200,4.5,"30-15 31st Ave,Astoria, NY 11106",Astoria,11106,US,NY,40.7646102445833,-73.9236790957008,$
1,JccD4NQaF3vZuGGnAKeB7A,sweetleaf-long-island-city-4,Sweetleaf,https://www.yelp.com/biz/sweetleaf-long-island-city-4?adjust_creative=XCA5Kc7RlIdeGhJ7qoZSYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XCA5Kc7RlIdeGhJ7qoZSYA,+13475271038,257,3.5,"4615 Center Blvd,Long Island City, NY 11109",Long Island City,11109,US,NY,40.7469015944119,-73.9562634274872,$$
2,JlFbaMbMzsu7FA307mUIqg,joju-elmhurst,JoJu,https://www.yelp.com/biz/joju-elmhurst?adjust_creative=XCA5Kc7RlIdeGhJ7qoZSYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XCA5Kc7RlIdeGhJ7qoZSYA,+13478080887,1728,4.5,"83-25 Broadway,Elmhurst, NY 11373",Elmhurst,11373,US,NY,40.7407051700423,-73.8793501821476,$
3,GLf8_rOnkszkGmPAiMzO9Q,bread-and-spread-dumbo,Bread & Spread,https://www.yelp.com/biz/bread-and-spread-dumbo?adjust_creative=XCA5Kc7RlIdeGhJ7qoZSYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XCA5Kc7RlIdeGhJ7qoZSYA,+17186252220,154,4.5,"151 Front St,Dumbo, NY 11201",Dumbo,11201,US,NY,40.7025945,-73.9869119,$$
4,DLRbxg74oWNPQJdbSkTDxQ,suprema-provisions-new-york,Suprema Provisions,https://www.yelp.com/biz/suprema-provisions-new-york?adjust_creative=XCA5Kc7RlIdeGhJ7qoZSYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XCA5Kc7RlIdeGhJ7qoZSYA,+16469644994,255,4.0,"305 Bleecker St,New York, NY 10014",New York,10014,US,NY,40.7326925,-74.0036155,$$
5,x35Qxemj9L30BcYUZ9mEeA,lady-m-cake-boutique-new-york-8,Lady M Cake Boutique,https://www.yelp.com/biz/lady-m-cake-boutique-new-york-8?adjust_creative=XCA5Kc7RlIdeGhJ7qoZSYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XCA5Kc7RlIdeGhJ7qoZSYA,+12124522222,177,3.5,"101 Liberty St,Ste 1415,New York, NY 10281",New York,10281,US,NY,40.710233,-74.011849,$$
6,meVzfRH_wLAJjcrCAhkh1g,patisserie-chanson-new-york-3,Patisserie Chanson,https://www.yelp.com/biz/patisserie-chanson-new-york-3?adjust_creative=XCA5Kc7RlIdeGhJ7qoZSYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XCA5Kc7RlIdeGhJ7qoZSYA,+19294238880,417,4.0,"20 W 23rd St,New York, NY 10010",New York,10010,US,NY,40.7417,-73.990571,$$
7,DNohs_5mLVLtKc8kRnmXbw,ocafe-new-york,OCAFE,https://www.yelp.com/biz/ocafe-new-york?adjust_creative=XCA5Kc7RlIdeGhJ7qoZSYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XCA5Kc7RlIdeGhJ7qoZSYA,+12122292233,246,3.5,"482 6th Ave,New York, NY 10011",New York,10011,US,NY,40.7358444596012,-73.997714430402,$$
8,r1NjIEYuvZ4goz_gqc6zfw,mira-cali-iii-elmhurst,Mira Cali III,https://www.yelp.com/biz/mira-cali-iii-elmhurst?adjust_creative=XCA5Kc7RlIdeGhJ7qoZSYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XCA5Kc7RlIdeGhJ7qoZSYA,+13476390113,16,4.5,"80-28 Baxter Ave,Elmhurst, NY 11373",Elmhurst,11373,US,NY,40.7447008788586,-73.8845264911652,$
9,Ts_ohrFBix3876g2-hm_Xg,café-grumpy-brooklyn-4,Café Grumpy,https://www.yelp.com/biz/caf%C3%A9-grumpy-brooklyn-4?adjust_creative=XCA5Kc7RlIdeGhJ7qoZSYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XCA5Kc7RlIdeGhJ7qoZSYA,+17184994404,182,3.5,"383 7th Ave,Brooklyn, NY 11215",Brooklyn,11215,US,NY,40.6651992797852,-73.9826126098633,$$
